latitude,longitude,hhid,wilcah,geometry,distance_to_hospital_km,distance_to_clinic_km
-0.0215029,109.3321569,32501,325,POINT (109.33215689999999 -0.0215029),16.249874844558065,6.4947753662489935
-0.0214012,109.3320863,32504,325,POINT (109.33208629999999 -0.0214012),16.263647458096507,6.508438832207733
0.7620649,127.3701114,46306,463,POINT (127.37011140000001 0.7620649),3.264088591555579,2.816348284171071
0.7617257,127.3701583,46307,463,POINT (127.3701583 0.7617257000000001),3.2929124113547332,2.845489596725689
0.7634703,127.3701657,46308,463,POINT (127.37016569999997 0.7634703),3.130933075116765,2.682336727937333
-6.7784117,108.5847244,20404,204,POINT (108.58472439999998 -6.778411700000001),6.371237467924915,3.6242046886685677
-6.7764289,108.5843021,20401,204,POINT (108.58430209999999 -6.7764289),6.198157448265144,3.467253082645273
-5.283851,105.3720626,12206,122,POINT (105.37206259999999 -5.283851),14.773495123522878,10.296812116805759
-5.2844327,105.3719174,12208,122,POINT (105.37191739999999 -5.2844327),14.713819019258104,10.257718905806062
-2.5221198,140.7157905,48707,487,POINT (140.7157905 -2.5221198),1.528805391478289,22.654010834061758
-2.5218537,140.7155781,48702,487,POINT (140.7155781 -2.5218536999999994),1.5464364548377545,22.637321921024867
-2.5224543,140.7155965,48708,487,POINT (140.71559649999998 -2.5224542999999993),1.4859502660622526,22.62492684688564
-6.18343,106.8522447,14807,148,POINT (106.8522447 -6.18343),0.2666317056330817,0.7451771446844959
-6.1836523,106.8519331,14809,148,POINT (106.8519331 -6.183652299999999),0.2608899530050703,0.7026148679689773
-6.1836893,106.8520983,14808,148,POINT (106.85209830000001 -6.183689300000001),0.27588516418367753,0.7141201159359797
-6.1834789,106.8521899,14804,148,POINT (106.8521899 -6.1834789),0.2658917210963063,0.7369844296865757
-6.1835099,106.8522587,14805,148,POINT (106.8522587 -6.1835099),0.2738367730913765,0.7406575549468005
-6.1837649,106.8521341,14806,148,POINT (106.8521341 -6.183764900000001),0.28489077539716384,0.7119337943782498
0.5514203,123.0953715,40507,405,POINT (123.09537150000001 0.5514203),1.4702110228225385,2.49099785134381
0.5515253,123.095959,40508,405,POINT (123.09595900000001 0.5515252999999998),1.46250582899437,2.553725240537589
-8.4357619,115.125479,28503,285,POINT (115.125479 -8.4357619),9.743483462242363,9.973128394695152
-8.4360033,115.1258674,28502,285,POINT (115.1258674 -8.4360033),9.6942846586453,9.944573735765715
-8.4343254,115.12616,28509,285,POINT (115.12616 -8.4343254),9.81321827055097,10.132397545743954
-8.4881077,115.0379376,28608,286,POINT (115.03793760000002 -8.4881077),10.730451422797104,10.881916276433982
-8.4880475,115.03742,28609,286,POINT (115.03742 -8.4880475),10.782646105367604,10.9378893272795
-8.4891819,115.0375105,28606,286,POINT (115.03751050000001 -8.489181900000002),10.7059890014598,10.881489479662129
-7.7537451,111.6151078,26805,268,POINT (111.61510779999999 -7.7537451000000015),7.229700233022531,7.440269627754295
-7.753858,111.6148649,26806,268,POINT (111.6148649 -7.753858),7.242836209127567,7.432974295915032
-7.7539135,111.6137704,26810,268,POINT (111.61377039999999 -7.7539135),7.252362162372089,7.361531190834442
-7.7540166,111.6145449,26808,268,POINT (111.61454489999998 -7.754016599999998),7.261400881980281,7.424398720781558
0.763345,127.370137,46310,463,POINT (127.370137 0.7633449999999999),3.1442246508750458,2.695673983370618
0.7731442,127.3756444,46401,464,POINT (127.37564439999998 0.7731442),1.9015878365545311,1.4523182664559082
-6.8273317,108.7746317,20303,203,POINT (108.77463169999999 -6.8273317),11.440532970844647,21.57079315459208
-6.7766689,108.5845814,20402,204,POINT (108.5845814 -6.7766689),6.2391808280680126,3.50769404261241
-6.7762494,108.5845972,20403,204,POINT (108.58459719999999 -6.776249399999999),6.212381864262304,3.485563243658674
-6.8285071,108.7733734,20308,203,POINT (108.7733734 -6.8285070999999995),11.253859095419863,21.406772909678605
0.772667,127.3755225,46406,464,POINT (127.37552249999999 0.772667),1.9519037780962214,1.5026218440674204
-6.8284823,108.7066651,20605,206,POINT (108.70666509999998 -6.828482299999998),7.186005289711183,14.213683037366653
-6.8265946,108.7062738,20604,206,POINT (108.70627379999999 -6.8265946),7.190990322982548,14.23817198766055
-3.3143212,114.5814429,35301,353,POINT (114.5814429 -3.3143211999999997),3.696352116770949,0.4931875488651342
-3.3137735,114.5814978,35305,353,POINT (114.5814978 -3.3137734999999995),3.71878587456124,0.5385420678515312
-3.314557,114.5809417,35306,353,POINT (114.5809417 -3.3145569999999993),3.7346884802959237,0.5113799296054918
-5.2829463,105.3702066,12201,122,POINT (105.37020660000002 -5.282946299999999),14.716132650089271,10.144226071311792
-5.2838552,105.3716114,12205,122,POINT (105.3716114 -5.2838552),14.740266105065574,10.250045193067306
-5.2842788,105.3721726,12207,122,POINT (105.37217259999998 -5.2842788),14.745458235201356,10.29046588027001
-5.4329086,105.2647564,13304,133,POINT (105.26475639999998 -5.4329086),2.0262150894424313,0.3438458005180016
