latitude,longitude,hhid,wilcah,distance_to_road_m
-1.6360498,103.5459885,7808,78,5.742192098878246
-4.510012,136.8486909,48304,483,1.8319300543733747
-4.5099954,136.8490879,48310,483,42.24975990669554
-5.9558195,120.4910739,41005,410,18.295633553682787
-5.9558235,120.4900086,41001,410,5.692026447924867
-4.8418534,120.3112131,41702,417,7.209353607377276
-4.8422905,120.3122435,41703,417,17.386621467845266
-5.9556479,120.488663,41009,410,2.4102154216911793
-4.8458117,120.3080515,41705,417,17.931214404373076
-4.8464603,120.3079536,41706,417,23.35833265916118
-4.699117,120.284025,41802,418,50.09190808641042
-4.6989377,120.2841106,41803,418,64.4044653144935
-4.6980084,120.2857248,41807,418,100.63241984243759
-1.7019934,103.4518923,7201,72,11.870613899998455
-1.701379,103.450817,7202,72,14.008430888604499
-1.7046089,103.4511182,7205,72,1.5410979703313739
-5.4302708,105.2477677,13507,135,5.710689878091216
-5.4299354,105.2475732,13508,135,25.57268699531212
-5.4297651,105.2475015,13509,135,6.214420747195196
-1.7802254,103.3302167,7010,70,7.77850289041858
-1.7787504,103.3294021,7009,70,10.69050701292
-1.6571007,103.3210733,7107,71,20.067817089354154
-1.6569242,103.3210157,7108,71,10.274388198570795
-1.6577738,103.3208629,7109,71,7.935151254964682
-1.6385721,103.5482158,7806,78,1.3889909395542495
-1.6365618,103.5470279,7802,78,8.934807435006608
-1.6368781,103.5469584,7809,78,4.211402824435173
0.5714733,123.0920036,40605,406,14.964162296912844
-8.7721854,115.1740081,28709,287,10.916341427655134
-8.7723723,115.1745256,28707,287,9.408080268258537
-8.773192,115.1743409,28708,287,1.6722039628829082
-8.8289341,115.1591234,28807,288,4.146267109168434
-8.8291108,115.1591137,28805,288,4.108886971259033
-8.8300241,115.1592617,28809,288,8.56194022761788
-8.8288027,115.1588805,28804,288,0.36610607281430885
-8.8291378,115.1591789,28806,288,3.30818634075817
-8.830187,115.1647572,28803,288,7.04980817973041
-8.7725455,115.1743598,28705,287,12.20472983908057
-8.7729996,115.1742315,28706,287,14.643046096747547
-8.7721626,115.1746559,28704,287,15.009082340760544
-5.4302056,105.2475229,13501,135,24.01291861797477
