latitude,longitude,hhid,wilcah,geometry,count_electric_power_plant_within_1km,count_refinery_within_1km,count_port_within_1km,count_oil_n_gas_within_1km,count_other_within_1km,count_mine_within_1km,count_mineral_processing_plant_within_1km,count_smelting_plant_within_1km,count_electric_power_plant_within_3km,count_refinery_within_3km,count_port_within_3km,count_oil_n_gas_within_3km,count_other_within_3km,count_mine_within_3km,count_mineral_processing_plant_within_3km,count_smelting_plant_within_3km,count_electric_power_plant_within_5km,count_refinery_within_5km,count_port_within_5km,count_oil_n_gas_within_5km,count_other_within_5km,count_mine_within_5km,count_mineral_processing_plant_within_5km,count_smelting_plant_within_5km,count_electric_power_plant_within_10km,count_refinery_within_10km,count_port_within_10km,count_oil_n_gas_within_10km,count_other_within_10km,count_mine_within_10km,count_mineral_processing_plant_within_10km,count_smelting_plant_within_10km,distance_to_closest_electric_power_plant_km,distance_to_closest_refinery_km,distance_to_closest_port_km,distance_to_closest_oil_n_gas_km,distance_to_closest_other_km,distance_to_closest_mine_km,distance_to_closest_mineral_processing_plant_km,distance_to_closest_smelting_plant_km
-6.5076117,106.7022633,19301,193,POINT (106.7022633 -6.507611699999998),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.876124452508316,60.59018895609169,47.32295464972964,47.32295464972964,11.60069642638444,22.69562321384605,15.987179220616369,43.09989848111297
-6.5081633,106.7023983,19302,193,POINT (106.70239829999998 -6.508163299999999),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.82862980144513,60.64832719194668,47.374729757080665,47.374729757080665,11.577938134972497,22.659003255121178,16.00717335661027,43.157210696689845
-6.5081417,106.702655,19307,193,POINT (106.70265499999998 -6.508141699999999),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.84425009847942,60.64086946382827,47.36186932394113,47.36186932394113,11.602870908742352,22.679671340089293,16.03545014524151,43.17346295907102
-6.4589043,106.8946402,19202,192,POINT (106.89464019999998 -6.4589043),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,29.42056947904205,55.19257367695515,38.6488638536549,38.6488638536549,26.459882095462454,42.770300957775376,2.346823523720149,56.157941963455855
-6.4589916,106.8946772,19206,192,POINT (106.8946772 -6.458991599999998),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,29.431180854036377,55.20296348884563,38.65900123258264,38.65900123258264,26.45032698178776,42.768643910053484,2.3365254035488574,56.16636999646307
-6.4591052,106.8948901,19209,192,POINT (106.89489009999998 -6.459105200000001),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,29.451903584210047,55.22001474855505,38.67400045906024,38.67400045906024,26.42413027284094,42.78208058357955,2.3204099337754753,56.19326150520744
4.0467233,96.272985,1201,12,POINT (96.272985 4.046723299999999),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.6398368554976,159.36157592379698,201.53761204014344,158.50986512601241,21.039167619974503,420.0141764912572,157.58454852135907,362.34570548076493
4.0467667,96.27307,1204,12,POINT (96.27306999999999 4.046766700000001),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.6326195187557,159.352228015982,201.53872646869885,158.49984801792078,21.043161168294812,420.0104242121671,157.57537341788714,362.33749503892545
-2.5253594,121.3549511,42002,420,POINT (121.3549511 -2.5253594),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,245.90308050087106,191.07331117711985,59.76698323469483,39.75157004785718,15.54128962211892,5.529612776925987,5.655053736788308,63.71921945665691
-2.524649,121.3576662,42003,420,POINT (121.35766620000001 -2.524649),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,246.2033644643283,191.3156732819191,59.696520814915885,40.041599588649454,15.228852133067633,5.457413202831985,5.5878914111910065,63.4558158991971
-3.3540111,119.1251486,43501,435,POINT (119.1251486 -3.3540110999999997),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.44669090347512,148.93727127549795,200.1308244918737,190.4338191134333,45.14471997058589,265.790030712727,169.18404640400422,249.7304030926541
-3.3547052,119.1251164,43504,435,POINT (119.12511639999998 -3.3547051999999997),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.38879419471763,148.90838502444828,200.05495014444364,190.40033650996264,45.18537469108333,265.8189228560807,169.11196082301103,249.71659963721194
-3.3544578,119.1261268,43505,435,POINT (119.12612679999998 -3.3544578),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.33948497771954,148.8175264089674,200.06454726779748,190.51467169732507,45.073655632918104,265.7036391585782,169.10173926267908,249.61312995602998
-3.3949181,119.3051189,43903,439,POINT (119.3051189 -3.3949180999999995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.40551130756434,128.88687179547503,193.42034647590748,195.67206678518392,32.81520721481792,248.61629475837688,159.35493126578797,229.1834643729418
-3.3948541,119.3051958,43901,439,POINT (119.30519579999999 -3.394854099999999),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.40760117014278,128.88237984290458,193.42696624240014,195.67836951382307,32.8043834260215,248.6056991488606,159.36003700835778,229.1767182339163
-3.3946494,119.3052475,43902,439,POINT (119.30524750000001 -3.3946494),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.42477597817566,128.8873829849177,193.44941460239576,195.70055669662224,32.78259337202483,248.5918962566878,159.381068242535,229.1762192191178
-3.3958484,119.3050952,43908,439,POINT (119.3050952 -3.3958483999999998),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.31608780616475,128.84312313606566,193.31694033681882,195.56902943669263,32.90034062612326,248.65720418354502,159.25424490721448,229.1628433485759
4.020757,96.3856754,1101,11,POINT (96.38567539999998 4.020756999999999),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.86924921078915,155.11483264513097,211.00803891204257,152.4117070747064,32.97718150852218,408.8253104805654,153.75328440306555,349.4716890683404
